directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8085930,1,1,1,10,2024,1,67,6.0,1550000.0,63052
8045281,1,1,1,10,2024,1,49,5.0,1800000.0,16833
8048764,1,2,1,10,2024,1,35,5.0,800000.0,24241
8049189,1,1,1,10,2024,2,34,10.0,2000000.0,25078
8052558,1,2,1,10,2024,2,46,5.0,1300000.0,33096
8041240,1,1,1,10,2024,1,54,11.0,1500000.0,7150
8052776,1,4,1,10,2024,1,27,4.0,1300000.0,33568
8051410,1,1,1,10,2024,1,56,3.0,1000000.0,30123
8040057,1,2,1,10,2024,1,44,5.0,600000.0,4287
8056403,1,2,1,10,2024,1,20,5.0,1000000.0,41273
8052993,1,1,1,10,2024,1,56,5.0,650000.0,34158
8038828,1,1,1,10,2024,1,40,10.0,4000000.0,1588
8044280,1,1,1,10,2024,2,61,3.0,700000.0,14101
8076037,1,2,1,10,2024,1,45,3.0,600000.0,42816
8079671,1,1,1,10,2024,2,40,5.0,1300000.0,51181
8045442,1,3,1,10,2024,2,25,9.0,1600000.0,17274
8051019,1,1,1,10,2024,1,51,5.0,1700000.0,29484
8053707,1,1,1,10,2024,1,36,10.0,5000000.0,35763
8049277,1,4,1,10,2024,1,32,8.0,1400000.0,25262
8083308,1,1,1,10,2024,1,59,5.0,1500000.0,58806
8049534,1,2,1,10,2024,1,76,5.0,600000.0,25695
8040975,1,2,1,10,2024,2,27,5.0,2800000.0,6483
8042730,1,1,1,10,2024,2,40,5.0,1500000.0,10431
8050769,1,1,1,10,2024,2,51,11.0,4161378.0,28787
8038621,1,2,1,10,2024,2,33,10.0,2500000.0,1025
8047347,1,1,1,10,2024,2,36,3.0,500000.0,21482
8046563,1,1,1,10,2024,1,50,8.0,0.0,19889
8043886,1,1,1,10,2024,1,62,3.0,200000.0,13143
8079557,1,2,1,10,2024,2,26,8.0,1585000.0,50983
8052100,1,3,1,10,2024,1,15,4.0,550000.0,31844
8044650,1,3,1,10,2024,1,43,5.0,1500000.0,15138
8086775,1,1,1,10,2024,2,24,10.0,1350000.0,64478
8041482,1,1,1,10,2024,1,43,12.0,4000000.0,7668
8080853,1,2,1,10,2024,1,28,4.0,600000.0,53888
8076162,1,1,1,10,2024,2,44,4.0,975000.0,43180
8045948,1,2,1,10,2024,2,42,5.0,650000.0,18312
8043927,1,1,1,10,2024,1,49,3.0,600000.0,13241
8038464,1,3,1,10,2024,1,24,9.0,1462000.0,693
8076457,1,1,1,10,2024,2,35,4.0,600000.0,43896
8053877,1,1,1,10,2024,2,49,5.0,1400000.0,36067
8044260,1,4,1,10,2024,2,28,8.0,100000.0,14026
8043084,1,1,1,10,2024,1,19,4.0,600000.0,11111
8045657,1,1,1,10,2024,1,67,1.0,200000.0,17862
8052386,1,1,1,10,2024,2,68,3.0,100000.0,32654
8052226,1,2,1,10,2024,1,27,5.0,1200000.0,32159
8040321,1,1,1,10,2024,1,34,5.0,2500000.0,4948
8079010,1,1,1,10,2024,1,56,3.0,2500000.0,49649
8078330,1,4,1,10,2024,1,24,3.0,280000.0,48191
8049618,1,1,1,10,2024,2,37,3.0,300000.0,25904
8043878,1,1,1,10,2024,2,46,8.0,2500000.0,13122
8080886,1,5,1,10,2024,2,73,3.0,2000000.0,53951
8053789,1,1,1,10,2024,1,47,10.0,4500000.0,35882
8050351,1,3,1,10,2024,2,26,9.0,1400000.0,27727
8054396,1,3,1,10,2024,1,33,5.0,2500000.0,37172
8084862,1,2,1,10,2024,2,28,11.0,3200000.0,62078
8049769,1,1,1,10,2024,1,26,9.0,1000000.0,26307
8052628,1,1,1,10,2024,1,51,5.0,1300000.0,33271
8079362,1,1,1,10,2024,1,57,3.0,1000000.0,50574
8046165,1,1,1,10,2024,1,62,3.0,300000.0,18855
8038402,1,1,1,10,2024,2,64,4.0,270000.0,578
8043898,1,1,1,10,2024,1,59,11.0,2000000.0,13167
8078321,1,3,1,10,2024,1,31,4.0,400000.0,48164
8044959,1,3,1,10,2024,1,17,10.0,750000.0,15941
8084308,1,3,1,10,2024,1,16,3.0,100000.0,60931
8052163,1,1,1,10,2024,2,44,3.0,1000000.0,31991
8043952,1,1,1,10,2024,2,57,8.0,150000.0,13308
8047139,1,2,1,10,2024,2,52,11.0,8600000.0,21055
8048472,1,1,1,10,2024,2,31,8.0,1300000.0,23745
8051350,1,3,1,10,2024,1,35,4.0,860000.0,29963
8076375,1,2,1,10,2024,1,47,3.0,1300000.0,43698
8038610,1,3,1,10,2024,2,31,10.0,1800000.0,994
8086434,1,1,1,10,2024,1,67,3.0,1500000.0,63668
8038928,1,2,1,10,2024,2,50,8.0,1300000.0,1840
8055490,1,1,1,10,2024,1,51,10.0,2600000.0,39449
8051360,1,1,1,10,2024,2,52,5.0,100000.0,29991
8084997,1,4,1,10,2024,1,1,,,62400
8044576,1,1,1,10,2024,2,38,10.0,1300000.0,14937
8048085,1,2,1,10,2024,1,20,10.0,2100000.0,23013
8079141,1,2,1,10,2024,2,30,9.0,2000000.0,49937
8048012,1,2,1,10,2024,2,49,4.0,2000000.0,22854
8083362,1,1,1,10,2024,1,56,3.0,300000.0,58927
8051583,1,2,1,10,2024,1,26,5.0,1472000.0,30530
8055818,1,2,1,10,2024,1,21,4.0,1300000.0,40053
8078305,1,3,1,10,2024,1,19,5.0,1000000.0,48126
8041646,1,1,1,10,2024,2,59,3.0,0.0,8054
