per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;3;1;1;43;6;3;3.0;1500000.0;43.0
2024;12;2;1;1;70;2;3;3.0;1200000.0;1.0
2024;12;2;1;2;32;3;1;11.0;2600000.0;46.0
2024;12;2;1;1;71;2;3;5.0;2700000.0;84.0
2024;12;1;1;2;30;1;1;10.0;6500000.0;85.0
2024;12;2;1;1;45;2;2;3.0;800000.0;13.0
2024;12;1;1;2;66;1;3;1.0;600000.0;1.0
2024;12;1;1;2;48;1;2;10.0;2500000.0;84.0
2024;12;1;1;2;36;1;3;3.0;600000.0;81.0
2024;12;1;1;2;47;1;3;5.0;800000.0;81.0
2024;12;3;1;1;25;3;1;4.0;700000.0;3.0
2024;12;1;1;1;68;1;3;4.0;1300000.0;52.0
2024;12;2;1;2;37;2;2;5.0;1100000.0;56.0
2024;12;3;1;1;18;6;2;3.0;100000.0;1.0
2024;12;1;1;2;44;1;2;6.0;1600000.0;47.0
2024;12;2;1;1;23;3;1;10.0;350000.0;96.0
2024;12;8;1;1;66;13;3;1.0;300000.0;38.0
2024;12;1;1;2;23;1;2;5.0;1500000.0;47.0
2024;12;4;1;2;29;7;2;8.0;1300000.0;32.0
2024;12;1;1;1;48;1;2;5.0;1300000.0;38.0
2024;12;1;1;1;73;1;3;3.0;0.0;1.0
2024;12;2;1;1;28;2;2;4.0;500000.0;49.0
2024;12;2;1;2;53;2;2;3.0;1200000.0;86.0
2024;12;2;1;2;58;3;1;5.0;400000.0;14.0
2024;12;1;1;2;32;1;2;8.0;1500000.0;42.0
2024;12;1;1;1;33;1;2;6.0;1300000.0;38.0
2024;12;1;1;1;34;1;2;8.0;1800000.0;45.0
2024;12;1;1;2;44;1;2;8.0;2950000.0;84.0
2024;12;1;1;1;62;1;3;10.0;4000000.0;71.0
2024;12;1;1;1;68;1;3;3.0;700000.0;49.0
2024;12;1;1;1;32;1;2;3.0;1300000.0;1.0
2024;12;1;1;1;57;1;3;3.0;600000.0;43.0
2024;12;4;1;1;24;3;1;5.0;1300000.0;52.0
2024;12;1;1;1;43;1;3;5.0;1000000.0;49.0
2024;12;3;1;1;42;9;2;3.0;1600000.0;49.0
2024;12;1;1;2;35;1;2;5.0;1600000.0;56.0
2024;12;1;1;1;43;1;3;5.0;1800000.0;41.0
2024;12;2;1;2;35;2;2;5.0;60000.0;47.0
2024;12;1;1;1;23;1;2;4.0;1000000.0;41.0
2024;12;3;1;1;23;8;1;5.0;1300000.0;68.0
2024;12;1;1;2;21;1;2;4.0;1300000.0;97.0
2024;12;1;1;2;40;1;2;11.0;4500000.0;64.0
2024;12;3;1;2;21;3;1;5.0;500000.0;97.0
2024;12;2;1;2;44;2;2;8.0;1250000.0;97.0
2024;12;1;1;1;22;1;2;5.0;1300000.0;45.0
2024;12;2;1;2;22;3;1;8.0;1300000.0;47.0
2024;12;4;1;2;30;3;1;5.0;1300000.0;46.0
2024;12;1;1;1;58;1;2;10.0;1400000.0;25.0
2024;12;1;1;2;52;1;3;4.0;150000.0;95.0
2024;12;1;1;1;68;1;3;3.0;200000.0;95.0
2024;12;1;1;1;53;1;2;3.0;2500000.0;11.0
2024;12;2;1;2;48;2;3;8.0;1300000.0;86.0
2024;12;2;1;2;27;2;2;8.0;500000.0;47.0
2024;12;1;1;2;31;1;1;10.0;1300000.0;71.0
2024;12;1;1;1;25;1;2;10.0;3000000.0;84.0
2024;12;5;1;1;20;3;1;5.0;1300000.0;47.0
2024;12;1;1;1;52;1;2;3.0;1000000.0;47.0
2024;12;1;1;2;34;1;2;8.0;780000.0;56.0
2024;12;2;1;1;27;3;1;5.0;1800000.0;68.0
2024;12;1;1;1;43;1;2;5.0;1300000.0;21.0
2024;12;1;1;1;44;1;3;3.0;800000.0;41.0
2024;12;1;1;2;42;1;2;10.0;7700000.0;23.0
2024;12;3;1;1;24;3;1;10.0;1000000.0;86.0
2024;12;1;1;1;45;1;1;9.0;2800000.0;84.0
2024;12;1;1;1;57;1;3;3.0;1500000.0;49.0
2024;12;2;1;1;40;2;2;3.0;1200000.0;31.0
2024;12;1;1;1;56;1;2;5.0;1000000.0;49.0
2024;12;1;1;1;48;1;2;11.0;6000000.0;41.0
2024;12;2;1;2;18;3;1;10.0;1800000.0;82.0
2024;12;1;1;1;41;1;2;3.0;1000000.0;1.0
2024;12;1;1;2;57;1;3;10.0;2600000.0;20.0
2024;12;1;1;1;75;1;3;3.0;800000.0;1.0
