per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;5;1;1;11;3;1;3;;
2024;12;1;1;2;43;1;3;5;1000000;81
2024;12;2;1;1;18;3;1;5;;
2024;12;1;1;1;26;1;1;8;1000000;68
2024;12;2;1;2;25;2;2;9;1500000;47
2024;12;3;1;1;3;3;1;1;;
2024;12;4;1;1;51;4;2;5;1300000;47
2024;12;5;1;2;47;4;3;5;;
2024;12;1;1;1;69;1;3;3;3000000;49
2024;12;2;1;2;68;2;3;3;;
2024;12;3;1;1;46;3;1;10;2000000;49
2024;12;4;1;2;42;3;1;10;4000000;86
2024;12;1;1;1;37;1;3;11;5000000;30
2024;12;2;1;2;35;2;2;10;10000000;47
2024;12;3;1;2;20;3;1;10;1300000;47
2024;12;4;1;1;12;3;1;4;;
2024;12;1;1;2;64;1;3;4;270000;47
2024;12;2;1;2;29;3;1;4;;
2024;12;3;1;2;13;8;1;4;;
2024;12;4;1;1;10;8;1;3;;
2024;12;1;1;2;59;1;3;3;300000;81
2024;12;2;1;2;73;6;3;1;;
2024;12;3;1;1;42;9;1;5;1500000;49
2024;12;1;1;2;50;1;2;5;865000;97
2024;12;2;1;1;54;2;3;1;1300000;41
2024;12;3;1;2;25;3;2;5;2080000;97
2024;12;4;1;2;25;3;1;8;;
2024;12;1;1;2;56;1;1;5;;
2024;12;2;1;1;58;2;3;5;600000;43
2024;12;3;1;1;30;3;1;8;1380000;55
2024;12;4;1;1;26;3;1;5;;
2024;12;5;1;2;88;4;3;3;;
2024;12;1;1;2;58;1;3;9;1700000;47
2024;12;1;1;2;32;1;1;5;1300000;86
2024;12;2;1;1;8;3;1;3;;
2024;12;3;1;1;63;4;3;3;;
2024;12;4;1;2;62;4;3;3;;
2024;12;1;1;2;97;1;3;3;;
2024;12;2;1;1;65;3;1;4;;
2024;12;1;1;1;45;1;2;10;3000000;69
2024;12;2;1;2;44;2;2;10;4000000;69
2024;12;3;1;1;8;3;2;3;;
2024;12;1;1;1;42;1;2;5;1500000;42
2024;12;2;1;2;39;2;2;5;;
2024;12;3;1;2;13;3;1;4;;
2024;12;4;1;2;2;3;1;;;
2024;12;1;1;2;71;1;3;4;;
